,neg_log_loss,accuracy,f1_weighted,roc_auc,precision,recall
0,-0.527073644232,0.743085016121,0.648934801567,0.682253738074,0.749418212645,0.985776388872
1,-0.567161118236,0.746818258951,0.63873419671,0.507128003441,0.746818258951,1.0
2,-0.564306251589,0.746818258951,0.63873419671,0.546266519078,0.746818258951,1.0
3,-0.566050627599,0.746818258951,0.63873419671,0.492670287402,0.746818258951,1.0
4,-0.522845430588,0.745800101816,0.643125624527,0.685103455615,0.747954803854,0.995041818262
5,-0.800655586532,0.708297980655,0.674302006411,0.636783926102,0.762948336596,0.8844321625
6,-3.96562693076,0.701170880706,0.684620016657,0.592227299183,0.774843162186,0.845602551858
7,-0.61830197997,0.695910402172,0.690002127473,0.675252444114,0.7856923858,0.814679601277
8,-0.522845430588,0.745800101816,0.643125624527,0.685103455615,0.747954803854,0.995041818262
9,-0.873940914212,0.698795180723,0.679014209082,0.635909965863,0.770615517862,0.850221620801
10,-2.00882738504,0.669777702359,0.666691548118,0.597718181443,0.773814094059,0.78860934227
11,-12.9762177055,0.617003224164,0.621930595788,0.504580273156,0.74978490231,0.734176881236
